time,wave_height (m),wave_direction (°),wave_period (s),wind_wave_height (m),wind_wave_direction (°),swell_wave_height (m),swell_wave_direction (°)
2024-01-22T14:00,0.86,304,4.65,0.58,297,0.58,314
2024-01-22T15:00,0.98,302,4.55,0.80,297,0.48,320
2024-01-22T16:00,1.10,301,4.55,1.02,297,0.40,327
2024-01-22T17:00,1.08,302,4.65,0.86,295,0.56,321
2024-01-22T18:00,1.08,302,4.75,0.72,293,0.74,314
2024-01-22T19:00,1.06,303,4.85,0.56,291,0.90,308
2024-01-22T20:00,1.00,304,4.85,0.48,291,0.88,308
2024-01-22T21:00,0.96,305,4.75,0.38,290,0.86,308
2024-01-22T22:00,0.90,306,4.70,0.30,290,0.84,308
2024-01-22T23:00,0.86,307,4.65,0.22,279,0.82,309
2024-01-23T00:00,0.80,309,4.65,0.14,268,0.78,309
2024-01-23T01:00,0.76,310,4.65,0.06,257,0.76,310
2024-01-23T02:00,0.72,311,4.65,0.04,231,0.72,311
2024-01-23T03:00,0.70,311,4.65,0.02,206,0.70,311
2024-01-23T04:00,0.66,312,4.65,0.00,180,0.66,312
2024-01-23T05:00,0.64,310,4.70,0.00,180,0.64,310
2024-01-23T06:00,0.64,309,4.75,0.00,180,0.64,309
2024-01-23T07:00,0.62,307,4.80,0.00,180,0.62,307
2024-01-23T08:00,0.60,306,4.85,0.00,180,0.60,306
2024-01-23T09:00,0.60,306,4.90,0.00,180,0.60,306
2024-01-23T10:00,0.58,305,4.95,0.00,180,0.58,305
2024-01-23T11:00,0.56,305,4.95,0.00,180,0.56,305
2024-01-23T12:00,0.54,304,4.95,0.00,180,0.54,304
2024-01-23T13:00,0.52,304,4.95,0.00,180,0.52,304
2024-01-23T14:00,0.50,304,4.95,0.00,180,0.50,304
2024-01-23T15:00,0.50,303,4.95,0.00,180,0.50,303
2024-01-23T16:00,0.48,303,4.95,0.00,180,0.48,303
2024-01-23T17:00,0.46,304,4.85,0.00,180,0.46,304
2024-01-23T18:00,0.44,304,4.75,0.00,180,0.44,304
2024-01-23T19:00,0.42,305,4.65,0.00,180,0.42,305
2024-01-23T20:00,0.40,305,4.60,0.02,215,0.40,305
2024-01-23T21:00,0.40,306,4.55,0.02,251,0.40,306
2024-01-23T22:00,0.38,306,4.50,0.04,286,0.38,306
2024-01-23T23:00,0.38,306,4.40,0.06,288,0.38,306
2024-01-24T00:00,0.38,307,4.35,0.06,291,0.36,307
2024-01-24T01:00,0.38,307,4.25,0.08,293,0.36,307
2024-01-24T02:00,0.38,308,4.15,0.06,255,0.36,308
2024-01-24T03:00,0.36,308,4.05,0.02,218,0.36,308
2024-01-24T04:00,0.36,309,4.05,0.00,180,0.36,309
2024-01-24T05:00,0.38,310,4.15,0.00,180,0.38,310
2024-01-24T06:00,0.38,310,4.30,0.00,180,0.38,310
2024-01-24T07:00,0.40,311,4.40,0.00,180,0.40,311
2024-01-24T08:00,0.40,311,4.45,0.02,220,0.40,311
2024-01-24T09:00,0.40,312,4.45,0.02,260,0.40,312
2024-01-24T10:00,0.40,312,4.40,0.04,300,0.40,312
2024-01-24T11:00,0.44,311,4.30,0.12,302,0.42,312
2024-01-24T12:00,0.48,310,4.15,0.22,305,0.42,311
2024-01-24T13:00,0.52,309,4.05,0.30,307,0.44,311
2024-01-24T14:00,0.64,309,4.05,0.44,306,0.46,312
2024-01-24T15:00,0.78,308,4.15,0.60,305,0.48,314
2024-01-24T16:00,0.90,308,4.25,0.74,304,0.50,315
2024-01-24T17:00,0.92,308,4.35,0.64,301,0.62,313
2024-01-24T18:00,0.94,307,4.50,0.54,297,0.74,312
2024-01-24T19:00,0.96,307,4.60,0.44,294,0.86,310
2024-01-24T20:00,0.88,307,4.70,0.30,289,0.82,309
2024-01-24T21:00,0.82,308,4.75,0.18,285,0.78,309
2024-01-24T22:00,0.74,308,4.75,0.04,280,0.74,308
2024-01-24T23:00,0.68,309,4.75,0.04,269,0.68,309
2024-01-25T00:00,0.64,309,4.65,0.04,259,0.64,309
2024-01-25T01:00,0.58,310,4.60,0.04,248,0.58,310
2024-01-25T02:00,0.56,311,4.55,0.06,253,0.54,312
2024-01-25T03:00,0.52,313,4.45,0.06,258,0.52,313
2024-01-25T04:00,0.50,314,4.35,0.08,263,0.48,315
2024-01-25T05:00,0.48,317,4.10,0.08,268,0.46,318
2024-01-25T06:00,0.44,320,3.85,0.08,272,0.42,321
2024-01-25T07:00,0.42,323,3.65,0.08,277,0.40,324
2024-01-25T08:00,0.42,325,3.65,0.08,276,0.40,326
2024-01-25T09:00,0.42,328,3.70,0.06,274,0.42,328
2024-01-25T10:00,0.42,330,3.75,0.06,273,0.42,330
2024-01-25T11:00,0.42,331,3.75,0.10,285,0.42,332
2024-01-25T12:00,0.42,332,3.75,0.12,298,0.40,334
2024-01-25T13:00,0.42,333,3.75,0.16,310,0.40,336
2024-01-25T14:00,0.46,332,3.65,0.24,311,0.38,339
2024-01-25T15:00,0.48,330,3.55,0.30,313,0.36,343
2024-01-25T16:00,0.52,329,3.50,0.38,314,0.34,346
2024-01-25T17:00,0.56,328,3.55,0.40,316,0.38,341
2024-01-25T18:00,0.58,326,3.60,0.40,318,0.40,336
2024-01-25T19:00,0.62,325,3.70,0.42,320,0.44,331
2024-01-25T20:00,0.60,326,3.75,0.36,315,0.46,331
2024-01-25T21:00,0.58,326,3.80,0.28,309,0.50,331
2024-01-25T22:00,0.56,327,3.85,0.22,304,0.52,331
2024-01-25T23:00,0.54,328,3.90,0.18,296,0.52,331
2024-01-26T00:00,0.52,329,3.95,0.14,287,0.50,332
2024-01-26T01:00,0.50,330,4.00,0.10,279,0.50,332
2024-01-26T02:00,0.48,331,4.00,0.10,276,0.48,333
2024-01-26T03:00,0.48,331,4.00,0.12,274,0.48,333
2024-01-26T04:00,0.46,332,4.05,0.12,271,0.46,334
2024-01-26T05:00,0.46,334,4.15,0.10,279,0.46,335
2024-01-26T06:00,0.48,336,4.25,0.08,288,0.48,337
2024-01-26T07:00,0.48,338,4.35,0.06,296,0.48,338
2024-01-26T08:00,0.48,338,4.35,0.08,294,0.48,339
2024-01-26T09:00,0.46,339,4.35,0.10,291,0.46,340
2024-01-26T10:00,0.46,339,4.30,0.12,289,0.46,341
2024-01-26T11:00,0.48,338,4.20,0.18,296,0.44,342
2024-01-26T12:00,0.48,336,4.10,0.22,302,0.44,344
2024-01-26T13:00,0.50,335,3.95,0.28,309,0.42,345
2024-01-26T14:00,0.54,332,3.80,0.36,311,0.38,349
2024-01-26T15:00,0.58,330,3.65,0.44,314,0.36,353
2024-01-26T16:00,0.62,327,3.60,0.52,316,0.32,357
2024-01-26T17:00,0.68,327,3.75,0.52,314,0.40,352
2024-01-26T18:00,0.72,327,4.00,0.54,312,0.48,348
2024-01-26T19:00,0.78,327,4.20,0.54,310,0.56,343
2024-01-26T20:00,0.76,327,4.30,0.46,307,0.60,340
2024-01-26T21:00,0.74,328,4.35,0.38,303,0.62,336
2024-01-26T22:00,0.72,328,4.35,0.30,300,0.66,333
2024-01-26T23:00,0.70,328,4.35,0.28,295,0.64,334
2024-01-27T00:00,0.68,329,4.35,0.28,291,0.60,335
2024-01-27T01:00,0.66,329,4.35,0.26,286,0.58,336
2024-01-27T02:00,0.64,328,4.30,0.26,284,0.56,336
2024-01-27T03:00,0.64,327,4.25,0.28,283,0.56,337
2024-01-27T04:00,0.62,326,4.20,0.28,281,0.54,337
2024-01-27T05:00,0.60,327,4.20,0.28,284,0.52,338
2024-01-27T06:00,0.60,329,4.20,0.28,288,0.52,338
2024-01-27T07:00,0.58,330,4.20,0.28,291,0.50,339
2024-01-27T08:00,0.58,329,4.15,0.28,289,0.50,339
2024-01-27T09:00,0.56,328,4.10,0.28,287,0.48,339
2024-01-27T10:00,0.56,327,4.05,0.28,285,0.48,339
2024-01-27T11:00,0.58,325,3.95,0.36,290,0.44,343
2024-01-27T12:00,0.60,322,3.85,0.42,296,0.42,348
2024-01-27T13:00,0.62,320,3.75,0.50,301,0.38,352
2024-01-27T14:00,0.66,318,3.70,0.54,301,0.38,352
2024-01-27T15:00,0.70,315,3.70,0.60,301,0.36,353
2024-01-27T16:00,0.74,313,3.70,0.64,301,0.36,353
2024-01-27T17:00,0.72,313,3.75,0.62,299,0.38,351
2024-01-27T18:00,0.72,314,3.80,0.58,297,0.42,348
2024-01-27T19:00,0.70,314,3.85,0.56,295,0.44,346
2024-01-27T20:00,0.68,315,3.90,0.50,292,0.46,342
2024-01-27T21:00,0.64,315,3.95,0.44,289,0.48,337
2024-01-27T22:00,0.62,316,4.00,0.38,286,0.50,333
2024-01-27T23:00,0.60,317,4.00,0.38,286,0.48,334
2024-01-28T00:00,0.60,318,4.00,0.36,287,0.48,335
2024-01-28T01:00,0.58,319,4.00,0.36,287,0.46,336
2024-01-28T02:00,0.58,318,3.95,0.36,287,0.44,338
2024-01-28T03:00,0.58,318,3.90,0.38,286,0.44,339
2024-01-28T04:00,0.58,317,3.90,0.38,286,0.42,341
2024-01-28T05:00,0.58,320,4.05,0.36,287,0.46,340
2024-01-28T06:00,0.60,323,4.25,0.32,287,0.48,338
2024-01-28T07:00,0.60,326,4.40,0.30,288,0.52,337
2024-01-28T08:00,0.60,325,4.40,0.32,288,0.50,338
2024-01-28T09:00,0.58,325,4.30,0.34,289,0.50,340
2024-01-28T10:00,0.58,324,4.20,0.36,289,0.48,341
2024-01-28T11:00,0.62,322,4.10,0.44,293,0.44,344
2024-01-28T12:00,0.66,319,3.95,0.50,298,0.42,348
2024-01-28T13:00,0.70,317,3.85,0.58,302,0.38,351
2024-01-28T14:00,0.74,316,3.80,0.62,303,0.38,351
2024-01-28T15:00,0.78,315,3.80,0.68,303,0.38,352
2024-01-28T16:00,0.82,314,3.85,0.72,304,0.38,352
2024-01-28T17:00,0.78,316,3.95,0.62,301,0.44,346
2024-01-28T18:00,0.76,318,4.15,0.52,298,0.52,340
2024-01-28T19:00,0.72,320,4.25,0.42,295,0.58,334
2024-01-28T20:00,0.68,321,4.30,0.38,292,0.56,333
2024-01-28T21:00,0.66,321,4.30,0.34,290,0.56,333
2024-01-28T22:00,0.62,322,4.30,0.30,287,0.54,332
2024-01-28T23:00,0.60,322,4.30,0.30,286,0.52,333
2024-01-29T00:00,0.60,323,4.30,0.30,286,0.52,335
2024-01-29T01:00,0.58,323,4.25,0.30,285,0.50,336
2024-01-29T02:00,0.58,322,4.15,0.34,288,0.48,337
2024-01-29T03:00,0.60,321,4.05,0.38,292,0.46,339
2024-01-29T04:00,0.60,320,4.00,0.42,295,0.44,340
2024-01-29T05:00,0.60,322,4.10,0.38,291,0.46,340
2024-01-29T06:00,0.58,325,4.25,0.32,286,0.48,339
2024-01-29T07:00,0.58,327,4.35,0.28,282,0.50,339
2024-01-29T08:00,0.58,328,4.40,0.28,281,0.50,340
2024-01-29T09:00,0.56,329,4.45,0.26,280,0.50,340
2024-01-29T10:00,0.56,330,4.45,0.26,279,0.50,341
2024-01-29T11:00,0.56,328,4.40,0.30,283,0.48,342
2024-01-29T12:00,0.58,327,4.30,0.34,286,0.48,344
2024-01-29T13:00,0.58,325,4.20,0.38,290,0.46,345
2024-01-29T14:00,0.60,323,4.10,0.42,292,0.46,346
2024-01-29T15:00,0.64,322,4.00,0.44,294,0.44,348
2024-01-29T16:00,0.66,320,3.95,0.48,296,0.44,349
2024-01-29T17:00,0.66,320,4.05,0.44,292,0.48,345
2024-01-29T18:00,0.68,320,4.20,0.42,289,0.52,340
2024-01-29T19:00,0.68,320,4.35,0.38,285,0.56,336
2024-01-29T20:00,0.66,323,4.45,0.32,285,0.56,335
2024-01-29T21:00,0.62,326,4.60,0.26,286,0.58,334
2024-01-29T22:00,0.60,329,4.70,0.20,286,0.58,333
2024-01-29T23:00,0.58,331,4.80,0.18,281,0.56,335
2024-01-30T00:00,0.58,332,4.90,0.18,277,0.56,336
2024-01-30T01:00,0.56,334,4.95,0.16,272,0.54,338
2024-01-30T02:00,0.56,334,4.95,0.18,276,0.52,339
2024-01-30T03:00,0.56,334,4.90,0.20,280,0.52,340
2024-01-30T04:00,0.56,334,4.85,0.22,284,0.50,341
2024-01-30T05:00,0.54,336,4.90,0.20,288,0.50,341
2024-01-30T06:00,0.54,337,5.00,0.18,291,0.48,342
2024-01-30T07:00,0.52,339,5.00,0.16,295,0.48,342
2024-01-30T08:00,0.52,336,4.85,0.22,296,0.46,343
2024-01-30T09:00,0.54,334,4.60,0.26,297,0.46,345
2024-01-30T10:00,0.54,331,4.40,0.32,298,0.44,346
2024-01-30T11:00,0.60,327,4.20,0.42,300,0.42,348
2024-01-30T12:00,0.66,322,4.00,0.50,303,0.40,351
2024-01-30T13:00,0.72,318,3.85,0.60,305,0.38,353
2024-01-30T14:00,0.78,316,3.85,0.68,304,0.38,353
2024-01-30T15:00,0.86,315,3.90,0.74,304,0.40,352
2024-01-30T16:00,0.92,313,3.95,0.82,303,0.40,352
2024-01-30T17:00,0.88,313,3.95,0.76,301,0.42,349
2024-01-30T18:00,0.82,313,3.95,0.70,299,0.44,347
2024-01-30T19:00,0.78,313,3.95,0.64,297,0.46,344
2024-01-30T20:00,0.72,315,4.00,0.52,296,0.50,337
2024-01-30T21:00,0.68,316,4.00,0.40,294,0.52,331
2024-01-30T22:00,0.62,318,4.05,0.28,293,0.56,324
2024-01-30T23:00,0.58,319,4.10,0.26,294,0.54,325
2024-01-31T00:00,0.56,321,4.10,0.24,295,0.50,327
2024-01-31T01:00,0.52,322,4.10,0.22,296,0.48,328
2024-01-31T02:00,0.52,321,4.00,0.28,298,0.44,331
2024-01-31T03:00,0.52,321,3.90,0.32,299,0.42,335
2024-01-31T04:00,0.52,320,3.80,0.38,301,0.38,338
2024-01-31T05:00,0.56,318,3.75,0.40,298,0.38,339
2024-01-31T06:00,0.58,316,3.70,0.44,296,0.40,340
2024-01-31T07:00,0.62,314,3.70,0.46,293,0.40,341
2024-01-31T08:00,0.62,313,3.70,0.46,292,0.42,340
2024-01-31T09:00,0.64,313,3.75,0.46,290,0.42,339
2024-01-31T10:00,0.64,312,3.75,0.46,289,0.44,338
2024-01-31T11:00,0.66,312,3.75,0.50,292,0.42,340
2024-01-31T12:00,0.68,311,3.75,0.54,295,0.40,342
2024-01-31T13:00,0.70,311,3.75,0.58,298,0.38,344
2024-01-31T14:00,0.72,310,3.75,0.62,298,0.38,344
2024-01-31T15:00,0.76,310,3.75,0.64,299,0.38,344
2024-01-31T16:00,0.78,309,3.80,0.68,299,0.38,344
2024-01-31T17:00,0.80,309,3.90,0.66,297,0.44,339
2024-01-31T18:00,0.82,310,4.05,0.62,294,0.52,335
2024-01-31T19:00,0.84,310,4.20,0.60,292,0.58,330
2024-01-31T20:00,0.78,312,4.25,0.46,288,0.60,326
2024-01-31T21:00,0.70,313,4.30,0.32,284,0.60,322
2024-01-31T22:00,0.64,315,4.35,0.18,280,0.62,318
2024-01-31T23:00,0.60,317,4.40,0.16,280,0.58,319
2024-02-01T00:00,0.56,319,4.45,0.12,279,0.56,321
2024-02-01T01:00,0.52,321,4.45,0.10,279,0.52,322
2024-02-01T02:00,0.50,322,4.40,0.12,281,0.50,324
2024-02-01T03:00,0.48,323,4.35,0.14,282,0.46,327
2024-02-01T04:00,0.46,324,4.35,0.16,284,0.44,329
2024-02-01T05:00,0.46,326,4.50,0.14,278,0.44,330
2024-02-01T06:00,0.44,329,4.65,0.10,272,0.44,332
2024-02-01T07:00,0.44,331,4.80,0.08,266,0.44,333
2024-02-01T08:00,0.44,332,4.85,0.08,267,0.42,334
2024-02-01T09:00,0.42,333,4.85,0.10,269,0.42,335
2024-02-01T10:00,0.42,334,4.75,0.10,270,0.40,336
2024-02-01T11:00,0.42,333,4.60,0.16,285,0.38,338
2024-02-01T12:00,0.44,333,4.35,0.20,299,0.38,339
2024-02-01T13:00,0.44,332,4.15,0.26,314,0.36,341
2024-02-01T14:00,0.46,331,4.00,0.28,313,0.36,341
2024-02-01T15:00,0.48,329,3.85,0.30,311,0.38,340
2024-02-01T16:00,0.50,328,3.75,0.32,310,0.38,340
2024-02-01T17:00,0.50,328,3.70,0.30,307,0.40,338
2024-02-01T18:00,0.50,327,3.70,0.26,303,0.42,337
2024-02-01T19:00,0.50,327,3.70,0.24,300,0.44,335
2024-02-01T20:00,0.48,327,3.75,0.22,293,0.44,335
2024-02-01T21:00,0.46,328,3.80,0.18,286,0.42,334
2024-02-01T22:00,0.44,328,3.80,0.16,279,0.42,334
2024-02-01T23:00,0.44,326,3.80,0.18,275,0.40,335
2024-02-02T00:00,0.42,325,3.75,0.18,272,0.40,335
2024-02-02T01:00,0.42,323,3.70,0.20,268,0.38,336
2024-02-02T02:00,0.42,323,3.65,0.18,265,0.38,334
2024-02-02T03:00,0.40,322,3.65,0.18,262,0.36,332
2024-02-02T04:00,0.40,322,3.70,0.16,259,0.36,330
2024-02-02T05:00,0.42,325,3.95,0.14,255,0.38,331
2024-02-02T06:00,0.42,329,4.30,0.12,250,0.42,333
2024-02-02T07:00,0.44,332,4.55,0.10,246,0.44,334
2024-02-02T08:00,0.44,333,4.65,0.06,224,0.44,335
2024-02-02T09:00,0.42,335,4.65,0.04,202,0.42,335
2024-02-02T10:00,0.42,336,4.65,0.00,180,0.42,336
2024-02-02T11:00,0.42,336,4.65,0.00,180,0.42,336
2024-02-02T12:00,0.40,337,4.70,0.00,180,0.40,337
2024-02-02T13:00,0.40,337,4.65,0.00,180,0.40,337
2024-02-02T14:00,0.40,337,4.55,0.04,225,0.40,338
2024-02-02T15:00,0.40,336,4.40,0.10,271,0.38,338
2024-02-02T16:00,0.40,336,4.30,0.14,316,0.38,339
2024-02-02T17:00,0.40,335,4.30,0.12,310,0.38,338
2024-02-02T18:00,0.38,335,4.30,0.12,304,0.38,337
2024-02-02T19:00,0.38,334,4.25,0.10,298,0.38,336
2024-02-02T20:00,0.40,330,4.10,0.14,294,0.38,336
2024-02-02T21:00,0.42,327,3.90,0.20,289,0.38,335
2024-02-02T22:00,0.44,323,3.75,0.24,285,0.38,335
2024-02-02T23:00,0.44,321,3.70,0.24,280,0.38,333
2024-02-03T00:00,0.46,318,3.70,0.22,274,0.40,331
2024-02-03T01:00,0.46,316,3.70,0.22,269,0.40,329
2024-02-03T02:00,0.46,316,3.70,0.18,270,0.40,326
2024-02-03T03:00,0.44,316,3.70,0.16,272,0.42,322
2024-02-03T04:00,0.44,316,3.75,0.12,273,0.42,319
2024-02-03T05:00,0.44,317,3.80,0.10,278,0.42,319
2024-02-03T06:00,0.42,319,3.90,0.06,284,0.42,320
2024-02-03T07:00,0.42,320,3.95,0.04,289,0.42,320
2024-02-03T08:00,0.42,320,4.00,0.04,291,0.42,320
2024-02-03T09:00,0.44,321,4.10,0.06,293,0.44,321
2024-02-03T10:00,0.44,321,4.10,0.06,295,0.44,321
2024-02-03T11:00,0.46,320,4.05,0.14,298,0.44,322
2024-02-03T12:00,0.50,320,3.95,0.22,302,0.42,324
2024-02-03T13:00,0.52,319,3.85,0.30,305,0.42,325
2024-02-03T14:00,0.60,316,3.75,0.42,303,0.38,331
2024-02-03T15:00,0.66,312,3.70,0.54,302,0.36,338
2024-02-03T16:00,0.74,309,3.70,0.66,300,0.32,344
2024-02-03T17:00,0.80,309,3.85,0.68,299,0.40,338
2024-02-03T18:00,0.84,308,4.10,0.70,298,0.46,333
2024-02-03T19:00,0.90,308,4.25,0.72,297,0.54,327
2024-02-03T20:00,0.86,308,4.25,0.64,295,0.56,325
2024-02-03T21:00,0.80,309,4.20,0.56,292,0.56,323
2024-02-03T22:00,0.76,309,4.15,0.48,290,0.58,321
2024-02-03T23:00,0.72,309,4.10,0.42,286,0.58,320
2024-02-04T00:00,0.68,309,4.10,0.38,282,0.56,318
2024-02-04T01:00,0.64,309,4.05,0.32,278,0.56,317
2024-02-04T02:00,0.62,309,4.00,0.28,276,0.54,316
2024-02-04T03:00,0.58,309,3.95,0.26,274,0.54,316
2024-02-04T04:00,0.56,309,3.90,0.22,272,0.52,315
2024-02-04T05:00,0.58,307,3.80,0.30,276,0.48,318
2024-02-04T06:00,0.60,306,3.70,0.38,281,0.46,322
2024-02-04T07:00,0.62,304,3.65,0.46,285,0.42,325
2024-02-04T08:00,0.64,303,3.60,0.50,287,0.40,329
2024-02-04T09:00,0.66,301,3.60,0.56,288,0.36,332
2024-02-04T10:00,0.68,300,3.60,0.60,290,0.34,336
2024-02-04T11:00,0.74,302,3.65,0.66,295,0.30,333
2024-02-04T12:00,0.78,304,3.70,0.74,300,0.28,331
2024-02-04T13:00,0.84,306,3.75,0.80,305,0.24,328
2024-02-04T14:00,0.82,309,3.80,0.76,308,0.30,324
2024-02-04T15:00,0.80,311,3.80,0.70,310,0.38,320
2024-02-04T16:00,0.78,314,3.85,0.66,313,0.44,316
2024-02-04T17:00,0.78,315,3.95,0.54,310,0.54,317
2024-02-04T18:00,0.80,317,4.15,0.44,307,0.64,319
2024-02-04T19:00,0.80,318,4.25,0.32,304,0.74,320
2024-02-04T20:00,0.74,319,4.30,0.22,263,0.70,321
2024-02-04T21:00,0.68,321,4.35,0.10,221,0.66,321
2024-02-04T22:00,0.62,322,4.35,0.00,180,0.62,322
2024-02-04T23:00,0.58,323,4.35,0.00,180,0.58,323
2024-02-05T00:00,0.56,325,4.40,0.00,180,0.56,325
2024-02-05T01:00,0.52,326,4.40,0.00,180,0.52,326
2024-02-05T02:00,0.50,327,4.40,0.00,180,0.50,327
2024-02-05T03:00,0.48,329,4.35,0.00,180,0.48,329
2024-02-05T04:00,0.46,330,4.40,0.00,180,0.46,330
2024-02-05T05:00,0.48,331,4.50,0.00,180,0.48,331
2024-02-05T06:00,0.48,331,4.70,0.00,180,0.48,331
2024-02-05T07:00,0.50,332,4.80,0.00,180,0.50,332
2024-02-05T08:00,0.48,333,4.80,0.02,220,0.48,333
2024-02-05T09:00,0.46,333,4.75,0.06,259,0.46,334
2024-02-05T10:00,0.44,334,4.65,0.08,299,0.44,335
2024-02-05T11:00,0.46,332,4.40,0.16,304,0.42,336
2024-02-05T12:00,0.46,331,4.05,0.24,309,0.38,338
2024-02-05T13:00,0.48,329,3.80,0.32,314,0.36,339
2024-02-05T14:00,0.54,328,3.60,0.40,317,0.32,341
2024-02-05T15:00,0.58,327,3.50,0.50,321,0.28,343
2024-02-05T16:00,0.64,326,3.45,0.58,324,0.24,345
2024-02-05T17:00,0.66,325,3.55,0.54,317,0.32,343
2024-02-05T18:00,0.66,323,3.70,0.50,309,0.42,340
2024-02-05T19:00,0.68,322,3.80,0.46,302,0.50,338
2024-02-05T20:00,0.64,321,3.80,0.40,298,0.50,335
2024-02-05T21:00,0.62,321,3.75,0.36,294,0.50,333
2024-02-05T22:00,0.58,320,3.70,0.30,290,0.50,330
2024-02-05T23:00,0.56,320,3.70,0.28,288,0.48,329
2024-02-06T00:00,0.52,321,3.70,0.24,286,0.46,329
2024-02-06T01:00,0.50,321,3.70,0.22,284,0.44,328
2024-02-06T02:00,0.48,321,3.65,0.24,286,0.42,329
2024-02-06T03:00,0.48,320,3.55,0.24,287,0.42,330
2024-02-06T04:00,0.46,320,3.55,0.26,289,0.40,331
2024-02-06T05:00,0.48,321,3.65,0.26,289,0.42,331
2024-02-06T06:00,0.48,322,3.80,0.24,289,0.42,332
2024-02-06T07:00,0.50,323,3.90,0.24,289,0.44,332
2024-02-06T08:00,0.50,321,3.85,0.26,288,0.42,333
2024-02-06T09:00,0.48,318,3.70,0.28,286,0.40,333
2024-02-06T10:00,0.48,316,3.55,0.30,285,0.38,334
2024-02-06T11:00,0.50,315,3.45,0.36,291,0.34,337
2024-02-06T12:00,0.54,313,3.40,0.42,298,0.30,339
2024-02-06T13:00,0.56,312,3.35,0.48,304,0.26,342
2024-02-06T14:00,0.64,313,3.35,0.56,307,0.24,344
2024-02-06T15:00,0.70,315,3.45,0.66,311,0.22,346
2024-02-06T16:00,0.78,316,3.55,0.74,314,0.20,348
2024-02-06T17:00,0.86,314,3.80,0.80,311,0.28,345
2024-02-06T18:00,0.94,313,4.10,0.86,307,0.38,341
2024-02-06T19:00,1.02,311,4.30,0.92,304,0.46,338
2024-02-06T20:00,0.96,311,4.35,0.78,301,0.54,332
2024-02-06T21:00,0.92,312,4.35,0.64,299,0.62,326
2024-02-06T22:00,0.86,312,4.30,0.50,296,0.70,320
2024-02-06T23:00,0.84,311,4.25,0.56,297,0.62,324
2024-02-07T00:00,0.84,311,4.15,0.60,297,0.56,328
2024-02-07T01:00,0.82,310,4.10,0.66,298,0.48,332
2024-02-07T02:00,0.84,308,4.10,0.66,295,0.50,331
2024-02-07T03:00,0.84,307,4.10,0.68,293,0.50,331
2024-02-07T04:00,0.86,305,4.10,0.68,290,0.52,330
2024-02-07T05:00,0.78,306,4.10,0.52,278,0.56,323
2024-02-07T06:00,0.72,306,4.15,0.34,267,0.58,317
2024-02-07T07:00,0.64,307,4.15,0.18,255,0.62,310
2024-02-07T08:00,0.60,307,4.15,0.16,258,0.58,310
2024-02-07T09:00,0.58,307,4.15,0.14,262,0.56,309
2024-02-07T10:00,0.54,307,4.15,0.12,265,0.52,309
2024-02-07T11:00,0.52,307,4.10,0.14,274,0.50,309
2024-02-07T12:00,0.50,307,4.05,0.16,283,0.48,309
2024-02-07T13:00,0.48,307,3.95,0.18,292,0.46,309
2024-02-07T14:00,0.48,307,3.80,0.22,295,0.44,309
2024-02-07T15:00,0.50,307,3.65,0.26,299,0.42,309
2024-02-07T16:00,0.50,307,3.60,0.30,302,0.40,309
2024-02-07T17:00,0.52,308,3.70,0.24,305,0.44,309
2024-02-07T18:00,0.52,309,3.85,0.16,308,0.48,310
2024-02-07T19:00,0.54,310,3.95,0.10,311,0.52,310
2024-02-07T20:00,0.52,311,4.00,0.08,297,0.50,311
2024-02-07T21:00,0.48,313,4.00,0.06,284,0.48,313
2024-02-07T22:00,0.46,314,4.00,0.04,270,0.46,314
2024-02-07T23:00,0.44,315,4.00,0.06,268,0.44,315
2024-02-08T00:00,0.44,316,3.95,0.06,267,0.42,317
2024-02-08T01:00,0.42,317,3.95,0.08,265,0.40,318
2024-02-08T02:00,0.40,318,3.90,0.08,262,0.38,319
2024-02-08T03:00,0.40,319,3.85,0.06,258,0.38,319
2024-02-08T04:00,0.38,320,3.85,0.06,255,0.36,320
2024-02-08T05:00,0.40,321,4.05,0.04,230,0.38,321
2024-02-08T06:00,0.42,323,4.35,0.02,205,0.42,323
2024-02-08T07:00,0.44,324,4.55,0.00,180,0.44,324
2024-02-08T08:00,0.42,325,4.60,0.00,180,0.42,325
2024-02-08T09:00,0.42,327,4.60,0.00,180,0.42,327
2024-02-08T10:00,0.40,328,4.55,0.00,180,0.40,328
2024-02-08T11:00,0.40,329,4.55,0.02,233,0.40,329
2024-02-08T12:00,0.38,330,4.55,0.02,287,0.38,329
2024-02-08T13:00,0.38,331,4.50,0.04,340,0.38,330
2024-02-08T14:00,0.38,331,4.35,0.08,338,0.38,331
2024-02-08T15:00,0.40,332,4.20,0.10,336,0.36,331
2024-02-08T16:00,0.40,332,4.15,0.14,334,0.36,332
2024-02-08T17:00,0.42,333,4.35,0.12,333,0.40,333
2024-02-08T18:00,0.46,333,4.65,0.10,332,0.42,333
2024-02-08T19:00,0.48,334,4.90,0.08,331,0.46,334
2024-02-08T20:00,0.46,335,4.95,0.06,281,0.46,335
2024-02-08T21:00,0.46,335,4.95,0.02,230,0.44,335
2024-02-08T22:00,0.44,336,4.95,0.00,180,0.44,336
2024-02-08T23:00,0.42,336,4.95,0.00,180,0.42,336
2024-02-09T00:00,0.42,337,4.90,0.00,180,0.42,337
2024-02-09T01:00,0.40,337,4.90,0.00,180,0.40,337
2024-02-09T02:00,0.40,337,4.85,0.00,180,0.40,337
2024-02-09T03:00,0.38,338,4.85,0.00,180,0.38,338
